City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
Gandhinagar,Sargasan,Flat,3 BHK,21000,Un-furnished,1600 sq.ft,Parking,Un-furnished,N/A,N/A
Gandhinagar,Randesan,Flat,2 BHK,25000,Fully furnished,1208 sq.ft,"Parking, Gas Pipeline",Fully furnished,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,30000,Semi furnished,2142 sq.ft,"Gym, Lift, Parking, Garden",Semi furnished,N/A,N/A
Gandhinagar,Kudasan,Flat,3 BHK,25000,Semi furnished,2148 sq.ft,"24x7 Security, Children Play Area, Close to Grocery Stores, Close to Mall",Semi furnished,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,38000,Fully furnished,2052 sq.ft,"Pool, Gym, Lift, Parking",Fully furnished,N/A,N/A
Gandhinagar,Sargasan,Flat,4 BHK,32000,Semi furnished,2700 sq.ft,"Lift, Parking, Power Backup, Intercom",Semi furnished,N/A,N/A
Gandhinagar,Kudasan,Flat,3 BHK,55000,Fully furnished,2000 sq.ft,"24x7 Security, Security Guards, Lift, Power Backup
SVPrime User",Fully furnished,N/A,N/A
Gandhinagar,Vavol,Flat,3 BHK,24000,Fully furnished,1200 sq.ft,"Pool, Gym, Lift, Parking
RPPrime User",RPPrime User,N/A,N/A
Gandhinagar,Koba,Flat,2 BHK,15000,Fully furnished,1200 sq.ft,"Lift, Parking, Power Backup, Kids Area",Four Corner Property,N/A,N/A
Gandhinagar,Randesan,Flat,2 BHK,20000,Semi furnished,1395 sq.ft,"24x7 Security, Gymnasium, Landscaped Garden, Lift",Aspirerealities,N/A,N/A
Gandhinagar,Bhaijipura,Flat,2 BHK,25000,Semi furnished,1200 sq.ft,"Pool, Gym, Lift, Parking
RPPrime User",RPPrime User,N/A,N/A
Gandhinagar,Sargasan,Flat,2 BHK,15000,Un-furnished,1200 sq.ft,"Lift, Parking, Power Backup, Garden",Four Corner Property,N/A,N/A
Gandhinagar,Raysan,Villa,4 BHK,65000,Fully furnished,2700 sq.ft,"24x7 Security, Close to Grocery Stores, Metro Station Proximity, Close to Airport",Madhav Realtors,N/A,N/A
